The Witcher 3: Wild Hunt,2015,59.99,"Um RPG de mundo aberto aclamado pela crítica.",CD Projekt Red,RPG
Grand Theft Auto V,2013,29.99,"Um jogo de ação e aventura em mundo aberto.",Rockstar Games,Ação
Red Dead Redemption 2,2018,59.99,"Um épico de faroeste da Rockstar Games.",Rockstar Games,Ação
The Legend of Zelda: Breath of the Wild,2017,59.99,"Um jogo de ação e aventura com um vasto mundo para explorar.",Nintendo,Aventura
Minecraft,2011,26.95,"Um jogo sandbox onde você pode construir qualquer coisa que imaginar.",Mojang,Sandbox
Stardew Valley,2016,14.99,"Um RPG de simulação de fazenda.",ConcernedApe,Simulação
Portal 2,2011,9.99,"Um jogo de quebra-cabeça em primeira pessoa.",Valve,Puzzle
Half-Life: Alyx,2020,59.99,"Um jogo de realidade virtual que se passa entre os eventos de Half-Life e Half-Life 2.",Valve,VR
Cyberpunk 2077,2020,59.99,"Um RPG de ação e aventura em mundo aberto da CD Projekt Red.",CD Projekt Red,RPG
Among Us,2018,4.99,"Um jogo de dedução social multiplayer online.",Innersloth,Social
A Lenda do Herói,2016,59.99,"Jogo de aventura e quebra-cabeça.",Dumativa,Plataforma
Enigma do Medo,2024,79.99,"Jogo de aventura e quebra-cabeça de terror.",Dumativa,Puzzle
Horizon Zero Dawn,2017,49.99,"RPG de ação em um mundo pós-apocalíptico.",Guerrilla Games,RPG
Bloodborne,2015,19.99,"RPG de ação sombrio e desafiador.",FromSoftware,RPG
Call of Duty: Modern Warfare,2019,59.99,"Jogo de tiro em primeira pessoa.",Infinity Ward,Tiro
Sekiro: Shadows Die Twice,2019,59.99,"Jogo de ação e aventura com combate intenso.",FromSoftware,Ação
The Elder Scrolls V: Skyrim,2011,39.99,"RPG de mundo aberto com dragões e magia.",Bethesda Game Studios,RPG
Fallout 4,2015,29.99,"RPG de mundo aberto em um cenário pós-apocalíptico.",Bethesda Game Studios,RPG
Resident Evil 7: Biohazard,2017,19.99,"Jogo de terror de sobrevivência em primeira pessoa.",Capcom,Horror
Monster Hunter: World,2018,29.99,"RPG de ação onde você caça monstros gigantes.",Capcom,RPG
Persona 5 Royal,2019,59.99,"RPG estiloso com elementos de simulação social.",Atlus,RPG
Yakuza: Like a Dragon,2020,59.99,"RPG baseado em turnos com uma história cativante.",Ryu Ga Gotoku Studio,RPG
Super Mario Bros.,1985,5.99,"O clássico jogo de plataforma que definiu o gênero.",Nintendo,Plataforma
The Legend of Zelda,1986,5.99,"O início da épica saga de aventura em Hyrule.",Nintendo,Aventura
Pac-Man,1980,4.99,"O icônico jogo de arcade de comer pontos e fugir de fantasmas.",Namco,Arcade
Tetris,1984,9.99,"O viciante jogo de quebra-cabeça de encaixar blocos.",Alexey Pajitnov,Puzzle
Sonic the Hedgehog,1991,4.99,"O veloz ouriço azul da Sega em sua primeira grande aventura.",Sega,Plataforma
Street Fighter II,1991,7.99,"O lendário jogo de luta que popularizou o gênero.",Capcom,Luta
Super Metroid,1994,7.99,"Uma obra-prima de exploração e atmosfera no gênero Metroidvania.",Nintendo,Ação/Aventura
Chrono Trigger,1995,14.99,"Um RPG aclamado com viagens no tempo e múltiplos finais.",Square,RPG
Final Fantasy VII,1997,15.99,"Um RPG revolucionário que definiu o gênero no PlayStation.",Square,RPG
The Legend of Zelda: Ocarina of Time,1998,19.99,"Frequentemente citado como um dos melhores jogos de todos os tempos.",Nintendo,Aventura
Metal Gear Solid,1998,19.99,"Pioneiro do gênero de espionagem tática (stealth).",Konami,Ação/Stealth
Half-Life,1998,9.99,"Um jogo de tiro em primeira pessoa que revolucionou a narrativa no gênero.",Valve,Tiro
StarCraft,1998,14.99,"O jogo de estratégia em tempo real (RTS) que definiu o e-sport.",Blizzard Entertainment,RTS
DOOM,1993,4.99,"O jogo que popularizou o gênero de tiro em primeira pessoa (FPS).",id Software,Tiro
Grand Theft Auto III,2001,14.99,"O jogo que definiu o gênero de mundo aberto em 3D.",DMA Design (Rockstar North),Ação
Halo: Combat Evolved,2001,9.99,"Revolucionou os jogos de tiro em primeira pessoa nos consoles.",Bungie,Tiro
Resident Evil 4,2005,19.99,"Reinventou a série Resident Evil com uma perspectiva sobre o ombro.",Capcom,Horror/Ação
World of Warcraft,2004,14.99,"O MMORPG que definiu o gênero e dominou a década (preço de subscrição).",Blizzard Entertainment,MMORPG